oa_code,All people aged 16 to 64 in households,AB Higher and intermediate managerial/administrative/professional,"C1 Supervisory, clerical, junior managerial/administrative/professional",C2 Skilled manual workers,"DE Semi-skilled and unskilled manual workers; on state benefit, unemployed, lowest grade workers"
S00089724,61,30,17,9,5
S00089725,64,32,19,5,8
S00089726,77,39,15,20,3
S00089727,77,40,19,14,4
S00089728,70,37,11,9,13
S00089729,100,55,32,8,5
S00089730,76,31,26,9,10
S00089731,77,56,15,3,3
S00089732,101,50,26,14,11
S00089733,71,37,21,4,9
S00089734,56,24,21,7,4
S00089735,72,19,31,13,9
S00089736,70,31,31,7,1
S00089737,71,15,36,11,9
S00089738,49,20,14,13,2
S00089739,61,28,17,11,5
S00089740,92,48,37,4,3
S00089741,55,31,11,13,0
S00089742,100,64,20,11,5
S00089743,97,78,17,2,0
S00089744,53,37,12,1,3
S00089745,89,53,21,12,3
S00089746,79,51,19,5,4
S00089747,67,50,11,3,3
S00089748,89,53,19,8,9
S00089749,48,20,22,5,1
S00089750,89,48,24,17,0
S00089751,76,51,21,3,1
S00089752,90,47,37,3,3
S00089753,89,71,15,3,0
S00089754,85,50,27,6,2
S00089755,43,23,10,8,2
S00089756,63,28,18,11,6
S00089757,96,43,38,6,9
S00089758,62,25,16,12,9
S00089759,104,52,33,14,5
S00089760,72,26,29,14,3
S00089761,39,22,9,8,0
S00089762,98,40,38,6,14
S00089763,88,57,25,4,2
S00089764,83,39,31,9,4
S00089765,95,50,32,9,4
S00089766,93,40,28,9,16
S00089767,61,20,23,11,7
S00089768,58,26,20,4,8
S00089769,50,24,19,5,2
S00089770,90,36,42,7,5
S00089771,91,35,31,15,10
S00089772,90,35,40,12,3
S00089773,101,30,37,16,18
S00089774,77,22,34,9,12
S00089775,66,18,28,14,6
S00089776,86,24,39,12,11
S00089777,87,27,25,23,12
S00089778,110,20,42,19,29
S00089779,78,19,29,13,17
S00089780,67,9,36,14,8
S00089781,81,20,32,16,13
S00089782,68,22,28,13,5
S00089783,12,2,4,3,3
S00089784,52,12,21,7,12
S00089785,107,10,21,27,49
S00089786,68,7,17,25,19
S00089787,71,19,31,15,6
S00089788,57,13,28,9,7
S00089789,107,24,61,11,11
S00089790,119,27,52,20,20
S00089791,54,11,9,14,20
S00089792,68,3,39,15,11
S00089793,62,29,19,12,2
S00089794,54,30,15,1,8
S00089795,114,30,46,20,18
S00089796,105,34,46,13,12
S00089797,86,28,45,7,6
S00089798,90,26,26,29,9
S00089799,103,39,43,15,6
S00089800,83,28,34,14,7
S00089801,38,6,7,8,17
S00089802,114,7,41,40,26
S00089803,57,5,7,22,23
S00089804,82,3,22,31,26
S00089805,45,5,7,20,13
S00089806,71,8,17,13,33
S00089807,57,3,6,18,30
S00089808,63,8,9,28,18
S00089809,67,6,13,11,37
S00089810,38,0,16,10,12
S00089811,61,0,28,15,18
S00089812,61,6,16,16,23
S00089813,105,11,39,28,27
S00089814,20,1,4,5,10
S00089815,64,8,24,18,14
S00089816,89,3,10,32,44
S00089817,79,6,20,21,32
S00089818,61,7,11,19,24
S00089819,117,14,31,40,32
S00089820,90,9,17,31,33
S00089821,77,2,19,41,15
S00089822,70,6,22,28,14
S00089823,60,8,7,19,26
S00089824,110,4,30,41,35
S00089825,100,3,14,37,46
S00089826,83,8,20,30,25
S00089827,84,0,14,34,36
S00089828,8,1,2,0,5
S00089829,61,8,11,26,16
S00089830,80,2,19,39,20
S00089831,74,2,16,32,24
S00089832,50,4,17,9,20
S00089833,92,2,19,39,32
S00089834,58,3,21,18,16
S00089835,56,0,22,13,21
S00089836,111,7,26,29,49
S00089837,105,3,32,27,43
S00089838,89,0,11,33,45
S00089839,61,5,13,15,28
S00089840,55,0,10,20,25
S00089841,84,10,29,18,27
S00089842,57,10,13,15,19
S00089843,93,7,24,32,30
S00089844,76,4,12,22,38
S00089845,92,3,18,37,34
S00089846,52,4,11,17,20
S00089847,57,1,21,14,21
