oa_code,All people aged 3 and over,Speaks English very well,Speaks English well,Does not speak English well,Does not speak English at all
S00089467,81,74,7,0,0
S00089468,66,57,7,2,0
S00089469,106,94,12,0,0
S00089470,72,64,8,0,0
S00089471,71,57,6,6,2
S00089472,81,72,9,0,0
S00089473,93,84,9,0,0
S00089474,128,101,20,7,0
S00089475,70,53,14,1,2
S00089476,58,50,8,0,0
S00089477,103,84,18,1,0
S00089478,98,89,8,1,0
S00089479,68,63,5,0,0
S00089480,66,55,11,0,0
S00089481,122,115,5,2,0
S00089482,71,64,5,2,0
S00089483,85,78,7,0,0
S00089484,108,94,13,1,0
S00089485,66,56,8,2,0
S00089486,100,85,15,0,0
S00089487,76,65,11,0,0
S00089488,120,108,12,0,0
S00089489,129,113,16,0,0
S00089490,248,233,13,2,0
S00089491,108,104,4,0,0
S00089492,70,59,11,0,0
S00089493,73,61,10,2,0
S00089494,73,60,11,2,0
S00089495,66,44,15,7,0
S00089496,68,49,16,3,0
S00089497,206,181,21,4,0
S00089498,118,84,20,11,3
S00089499,66,52,14,0,0
S00089500,88,72,13,3,0
S00089501,139,99,28,10,2
S00089502,123,101,15,5,2
S00089503,62,46,15,1,0
S00089504,59,41,17,1,0
S00089505,64,35,28,1,0
S00089506,86,53,16,12,5
S00089507,86,63,16,6,1
S00089508,105,84,14,7,0
S00089509,47,44,3,0,0
S00089510,121,80,37,3,1
S00089511,83,60,18,4,1
S00089512,57,50,6,1,0
S00089513,122,94,20,8,0
S00089514,98,84,9,5,0
S00089515,258,211,38,7,2
S00089516,106,91,13,2,0
S00089517,72,56,11,5,0
S00089518,165,130,24,11,0
S00089519,116,106,9,1,0
S00089520,88,79,8,1,0
S00089521,128,112,16,0,0
S00089522,114,106,8,0,0
S00089523,96,80,14,2,0
S00089524,96,88,8,0,0
S00089525,75,67,7,1,0
S00089526,105,88,12,4,1
S00089527,107,87,17,2,1
S00089528,88,72,16,0,0
S00089529,114,90,23,1,0
S00089530,65,61,4,0,0
S00089531,79,71,6,2,0
S00089532,103,82,20,1,0
S00089533,76,70,6,0,0
S00089534,115,97,17,1,0
S00089535,79,59,17,2,1
S00089536,112,94,18,0,0
S00089537,73,62,9,2,0
S00089538,84,66,18,0,0
S00089539,75,53,18,3,1
S00089540,94,77,16,1,0
S00089541,89,72,9,7,1
S00089542,116,112,4,0,0
S00089543,79,65,12,1,1
S00089544,98,65,25,6,2
S00089545,62,46,13,3,0
S00089546,102,87,14,1,0
S00089547,139,112,26,1,0
S00089548,156,128,22,6,0
S00089549,96,75,20,1,0
S00089550,96,81,14,0,1
S00089551,76,58,17,0,1
S00089552,74,51,12,10,1
S00089553,99,58,20,20,1
S00089554,65,45,7,12,1
S00089555,134,105,24,4,1
S00089556,77,68,8,1,0
S00089557,135,113,19,3,0
S00089558,115,102,11,2,0
S00089559,144,126,14,3,1
S00089560,76,72,3,1,0
S00089561,96,77,11,6,2
S00089562,106,79,21,4,2
S00089563,73,70,3,0,0
S00089564,94,81,12,1,0
S00089565,138,126,9,3,0
